AMBER IN Equity,price,volume,mc,pe,bm,div
2021-08-31,2894.9,879589.0,97539.9819,115.9816,6.0805,0.0
2021-09-30,3263.7,2200911.0,109966.2299,130.7572,6.8551,0.0
2021-10-31,3305.75,2112295.0,111383.0513,132.4419,6.9435,0.0
2021-11-30,3029.45,1369262.0,102073.4734,121.3722,6.3631,0.0
2021-12-31,3316.2,1586839.0,111735.1507,132.8606,6.9654,0.0
2022-01-31,3610.05,1855770.0,121636.0536,144.6334,7.5826,0.0
2022-02-28,3481.8,2211229.0,117314.8326,139.4952,7.3132,0.0
2022-03-31,3523.25,1665223.0,118711.4377,108.7087,6.8453,0.0
2022-04-30,3709.7,1176454.0,124993.6339,114.4616,7.2075,0.0
2022-05-31,2633.0,5435483.0,88715.5937,81.2404,5.1156,0.0
2022-06-30,2246.65,2927038.0,75698.0208,69.3197,4.365,0.0
2022-07-31,2493.7,1218638.0,84022.057,76.9423,4.845,0.0
2022-08-31,2264.55,1706349.0,76301.1385,69.872,4.3998,0.0
2022-09-30,2363.7,1638928.0,79641.872,72.9312,4.5924,0.0
2022-10-31,2065.05,2030709.0,69579.2392,63.7164,4.0122,0.0
2022-11-30,1924.25,1422536.0,64835.1619,59.3721,3.7386,0.0
2022-12-31,1891.3,2038777.0,63724.9534,58.3554,3.6746,0.0
2023-01-31,1912.25,1615214.0,64430.8371,59.0019,3.7153,0.0
2023-02-28,1885.75,1351996.0,63537.9532,58.1842,3.6638,0.0
2023-03-31,1824.6,1910022.0,61477.5816,39.1042,3.2208,0.0
2023-04-30,1868.1,718196.0,62943.2589,40.0364,3.2976,0.0
2023-05-31,2116.7,6244330.0,71319.5204,45.3643,3.7364,0.0
2023-06-30,2256.2,7538809.0,76019.7959,48.3541,3.9827,0.0
2023-07-31,2434.95,3569787.0,82042.5503,52.185,4.2982,0.0
2023-08-31,2899.75,7351292.0,97703.3965,62.1464,5.1186,0.0
2023-09-30,2976.8,2598371.0,100299.4984,63.7977,5.2547,0.0
2023-10-31,2934.2,3522769.0,98864.1455,62.8847,5.1795,0.0
2023-11-30,3048.65,3770625.0,102720.393,65.3375,5.3815,0.0
2023-12-31,3135.4,3234096.0,105643.3242,67.1967,5.5346,0.0
2024-01-31,4437.05,4678109.0,149500.7691,95.0932,7.8323,0.0
2024-02-29,3682.6,4556573.0,124080.5338,78.9241,6.5005,0.0
2024-03-31,3657.7,5023066.0,123241.5599,92.7409,5.97,0.0
2024-04-30,3846.65,2814599.0,129607.9904,97.5317,6.2784,0.0
2024-05-31,3598.85,3108130.0,121258.6838,91.2487,5.8739,0.0
2024-06-30,4521.75,5113675.0,152354.6281,114.6488,7.3802,0.0
2024-07-31,4334.5,3276483.0,146243.1302,109.9011,7.0746,0.0
2024-08-31,4467.3,3557702.0,150723.7134,113.2683,7.2914,0.0
2024-09-30,4809.1,9993227.0,162367.2676,121.9346,7.8492,0.0
2024-10-31,6040.25,29317521.0,204017.3323,153.1504,9.8587,0.0
2024-11-30,6064.95,10102310.0,204851.6071,153.7766,9.899,0.0
2024-12-31,7387.55,21045393.0,249872.8418,187.3111,12.0577,0.0
2025-01-31,6501.8,19709446.0,219913.6713,164.8529,10.612,0.0
2025-02-28,5628.65,14759230.0,190380.677,142.7142,9.1869,0.0
2025-03-31,7210.85,13351164.0,243896.2282,100.1936,10.6701,0.0
2025-04-30,6155.5,7058542.0,208200.5912,85.5297,9.1085,0.0
2025-05-31,6491.5,8211331.0,219685.3819,90.1984,9.6056,0.0
2025-06-30,6769.5,5887349.0,229370.5014,94.0612,10.017,0.0
2025-07-31,7963.5,10173079.0,269826.721,110.6516,11.7838,0.0
2025-08-31,7267.5,7580657.0,246303.4312,100.9808,10.7539,0.0
2025-09-30,8089.0,8573785.0,284319.7918,112.3954,11.9695,0.0
2025-10-31,8036.5,4549915.0,282474.4724,111.6659,11.8918,0.0
2025-11-30,7181.0,7949611.0,252570.4336,99.7789,10.6259,0.0
2025-12-31,6387.0,6107940.0,224643.8323,88.7464,9.451,0.0
2026-01-31,5716.0,5430637.0,201043.3921,79.4229,8.4581,0.0
2026-02-28,7974.0,8982552.0,280461.8629,110.7975,11.7993,0.0
2026-03-31,7867.0,1031823.0,276698.4544,109.3107,11.641,0.0
