CCLP IN Equity,price,volume,mc,pe,bm,div
2007-11-30,23.77,3924530.0,3161.4581,8.3287,2.2534,0.5
2007-12-31,26.08,2962580.0,3469.4225,9.14,2.4729,0.5
2008-01-31,20.37,4327450.0,2709.8212,7.1389,1.9315,0.5
2008-02-29,18.5,2823090.0,2461.0551,6.4835,1.7542,0.5
2008-03-31,13.84,7249310.0,1840.4701,5.191,1.1023,0.5
2008-04-30,15.22,2124140.0,2024.0515,5.7088,1.2122,0.5
2008-05-31,18.68,30976960.0,2485.6656,7.0108,1.4887,0.5
2008-06-30,16.1,3268200.0,2141.7831,6.0409,1.2827,0.5
2008-07-31,15.25,1021160.0,2028.7076,5.7219,1.215,0.5
2008-08-31,15.02,388660.0,1997.4455,5.6338,1.1963,0.5
2008-09-30,14.0,2066420.0,1862.4201,5.2529,1.1154,0.5
2008-10-31,8.0,2959690.0,1064.24,3.0017,0.6374,0.5
2008-11-30,9.01,2726390.0,1198.6003,3.3806,0.7179,0.5
2008-12-31,8.09,1457350.0,1076.2127,3.0354,0.6446,0.5
2009-01-31,9.05,2290600.0,1203.9215,3.3956,0.721,0.5
2009-02-28,6.92,1849780.0,919.9025,2.5946,0.5509,0.5
2009-03-31,6.71,3283520.0,892.6313,5.2545,0.5083,0.5
2009-04-30,8.03,9883870.0,1067.5658,6.2843,0.6079,0.5
2009-05-31,13.28,6952320.0,1765.9733,10.3955,1.0056,0.5
2009-06-30,11.8,4624830.0,1569.7541,9.2404,0.8939,0.5
2009-07-31,15.98,10255450.0,2125.1543,12.5098,1.2102,0.5
2009-08-31,14.66,4628950.0,1950.2199,11.48,1.1106,0.1
2009-09-30,15.51,5320130.0,2062.6302,12.1417,1.1746,0.1
2009-10-31,16.0,4183620.0,2127.8149,12.5255,1.2117,0.1
2009-11-30,16.35,1555750.0,2174.3754,12.7995,1.2382,0.1
2009-12-31,19.38,3152090.0,2577.4563,15.1723,1.4677,0.1
2010-01-31,22.47,12703710.0,2989.1842,17.5959,1.7022,0.1
2010-02-28,22.69,12592410.0,3017.7857,17.7643,1.7185,0.1
2010-03-31,22.86,6606790.0,3040.4008,10.8575,1.5136,0.1
2010-04-30,20.7,1594410.0,2753.0559,9.8314,1.3706,0.1
2010-05-31,17.07,1713610.0,2270.8222,8.1093,1.1305,0.1
2010-06-30,21.44,2929600.0,2852.1633,10.1853,1.4199,0.1
2010-07-31,20.04,4709570.0,2665.9213,9.5202,1.3272,0.1
2010-08-31,21.55,8663170.0,2866.1314,10.2352,1.4269,0.1
2010-09-30,33.25,67940560.0,4423.2476,15.7957,2.202,0.1
2010-10-31,31.71,11971510.0,4217.7163,15.0618,2.0997,0.0
2010-11-30,25.91,5606030.0,3446.1423,12.3064,1.7156,0.15
2010-12-31,29.6,4776830.0,3937.023,14.0594,1.96,0.15
2011-01-31,22.33,11012620.0,2970.56,10.6081,1.4788,0.15
2011-02-28,17.99,4778370.0,2392.5446,8.5439,1.1911,0.15
2011-03-31,19.16,20440380.0,2548.8549,9.6378,1.1737,0.15
2011-04-30,25.85,35300360.0,3438.1605,13.0005,1.5832,0.15
2011-05-31,21.64,4330070.0,2878.7693,10.8853,1.3256,0.15
2011-06-30,20.57,19529370.0,2735.762,10.3446,1.2598,0.15
2011-07-31,21.11,12897800.0,2807.5982,10.6162,1.2929,0.15
