BRGD IN Equity,price,volume,mc,pe,bm,div
2016-06-30,106.97,4653135.0,18165.7746,13.0247,1.1809,1.3333
2016-07-31,115.1,2735951.0,19547.0301,14.0151,1.2707,1.3333
2016-08-31,113.57,1881516.0,19286.6295,13.8284,1.2537,1.3333
2016-09-30,115.7,3493464.0,19648.926,14.0881,1.2773,1.3333
2016-10-31,118.93,1127957.0,20198.0317,14.4819,1.313,1.3333
2016-11-30,101.43,1054457.0,17226.068,12.351,1.1198,1.3333
2016-12-31,100.07,705584.0,17056.7615,12.1846,1.1047,1.3333
2017-01-31,104.9,410339.0,17880.6224,12.7731,1.1581,1.3333
2017-02-28,114.23,1992623.0,19471.5263,13.9096,1.2611,1.3333
2017-03-31,154.37,16069868.0,26319.0727,17.153,1.5519,1.3333
2017-04-30,164.2,4686939.0,27995.6277,18.2456,1.6508,1.3333
2017-05-31,167.73,4610885.0,34127.7187,18.6383,1.6863,0.0
2017-06-30,172.27,9549915.0,35062.4425,19.142,1.7319,0.0
2017-07-31,186.53,3487988.0,37966.2207,20.7273,1.8753,0.0
2017-08-31,177.0,1864502.0,36025.8455,19.668,1.7795,0.0
2017-09-30,166.4,4196606.0,33868.3655,18.4901,1.6729,1.6667
2017-10-31,176.33,3713330.0,35890.155,19.5939,1.7728,1.6667
2017-11-30,202.63,8126894.0,41359.8774,22.5163,2.0372,1.6667
2017-12-31,210.03,5103122.0,42870.3056,23.3386,2.1116,1.6667
2018-01-31,190.27,2383175.0,38835.6934,21.1421,1.9129,1.6667
2018-02-28,190.2,2154537.0,38822.0865,21.1347,1.9122,1.6667
2018-03-31,163.77,1444926.0,33426.7282,23.6202,1.4608,1.6667
2018-04-30,187.8,6108480.0,38332.2179,27.0865,1.6752,1.6667
2018-05-31,163.47,1823628.0,33378.245,23.5769,1.4581,1.6667
2018-06-30,141.43,2546790.0,28879.2605,20.399,1.2616,1.6667
2018-07-31,131.03,2627954.0,26755.6854,18.899,1.1688,1.6667
2018-08-31,140.1,4868016.0,28607.0073,20.2067,1.2497,1.6667
2018-09-30,126.63,1925189.0,25857.2498,18.2644,1.1296,1.3333
2018-10-31,106.67,2174579.0,21780.2578,15.3846,0.9515,1.3333
2018-11-30,131.27,1175102.0,26809.089,18.9327,1.1709,1.3333
2018-12-31,145.3,4860843.0,29675.1699,20.9567,1.2961,1.3333
2019-01-31,140.3,5582714.0,28654.0009,20.2356,1.2515,1.3333
2019-02-28,131.4,2522471.0,26841.3857,18.9519,1.1721,1.3333
2019-03-31,167.07,8338127.0,34127.0992,14.2225,1.5722,1.3333
2019-04-30,147.97,2144919.0,30225.4975,12.5965,1.3924,1.3333
2019-05-31,167.57,2728158.0,34229.2354,14.265,1.5769,1.3333
2019-06-30,172.13,2400909.0,35162.0791,14.6538,1.6198,1.3333
2019-07-31,174.4,3468398.0,35625.0964,14.8468,1.6412,1.3333
2019-08-31,199.7,3967724.0,40799.6568,17.0006,1.8793,1.3333
2019-09-30,215.35,4027834.0,43997.0262,18.3329,2.0265,1.3333
2019-10-31,206.25,2379190.0,42137.853,17.5582,1.9409,1.3333
2019-11-30,205.0,3630139.0,41882.4721,17.4518,1.9291,1.3333
2019-12-31,218.5,2252214.0,44644.3535,18.601,2.0562,1.3333
2020-01-31,239.6,3860929.0,48955.5474,20.3973,2.2547,1.3333
2020-02-29,231.55,4421415.0,47324.2624,19.712,2.179,1.3333
2020-03-31,130.15,5431346.0,26600.0983,20.3678,1.1662,1.0
2020-04-30,119.55,4122303.0,24433.6669,18.7089,1.0712,1.0
2020-05-31,100.3,5297979.0,20499.3458,15.6964,0.8987,1.0
2020-06-30,135.95,10252419.0,27785.5041,21.2754,1.2182,1.0
2020-07-31,140.45,10967767.0,28705.2155,21.9797,1.2585,1.0
2020-08-31,174.65,11664335.0,35695.0224,27.3318,1.5649,1.0
2020-09-30,162.9,3540123.0,33293.5536,25.493,1.4597,1.0
2020-10-31,179.25,4409637.0,36993.6725,28.0516,1.6062,1.0
2020-11-30,218.7,7393551.0,45552.1482,34.2254,1.9597,1.0
2020-12-31,249.1,8002979.0,51884.0272,38.9828,2.2321,1.0
2021-01-31,242.65,5437512.0,51160.096,37.9734,2.1743,1.0
2021-02-28,289.85,5512959.0,61133.3206,45.3599,2.5972,1.0
2021-03-31,277.85,7557447.0,58602.3568,44.2019,2.496,1.0
2021-04-30,250.4,6062429.0,52812.7772,,2.2494,1.0
2021-05-31,258.95,9101864.0,54627.9617,,2.3263,0.0
2021-06-30,279.7,7341492.0,64223.6542,,2.5127,0.0
2021-07-31,326.25,16509133.0,74912.2888,,2.9308,0.0
2021-08-31,334.45,12525705.0,76872.4706,,3.0045,1.2
2021-09-30,410.0,35101481.0,94237.4434,,3.6832,1.2
2021-10-31,464.15,16920307.0,106683.6814,,4.1697,1.2
2021-11-30,502.45,15123199.0,115614.6765,,4.5137,1.2
2021-12-31,490.3,12621102.0,112818.939,,4.4046,1.2
2022-01-31,499.85,14618646.0,115016.4117,,4.4904,1.2
2022-02-28,496.95,9590358.0,114429.0204,,4.4643,1.2
2022-03-31,516.85,12612459.0,119011.247,140.8311,4.0905,1.2
2022-04-30,455.8,6270060.0,104953.7127,124.1962,3.6073,1.2
2022-05-31,464.65,7524288.0,107066.4619,126.6076,3.6774,1.2
2022-06-30,444.4,6260876.0,102400.378,121.0899,3.5171,1.2
2022-07-31,493.55,3276012.0,113725.7124,134.4823,3.9061,1.5
2022-08-31,512.25,5534477.0,118107.6338,139.5777,4.0541,1.5
2022-09-30,508.7,8155699.0,117289.1231,138.6104,4.026,1.5
2022-10-31,499.55,4794399.0,115179.4406,136.1172,3.9536,1.5
2022-11-30,486.25,3835862.0,112159.7641,132.4932,3.8483,1.5
2022-12-31,465.05,6054218.0,107269.7137,126.7166,3.6805,1.5
2023-01-31,459.25,3341089.0,105931.8698,125.1362,3.6346,1.5
2023-02-28,487.65,3180709.0,112516.2896,132.8747,3.8594,1.5
2023-03-31,474.7,2322499.0,109528.3147,37.5554,3.3763,1.5
2023-04-30,501.9,1751647.0,115804.2156,39.7073,3.5697,1.5
