ESCORTS IN Equity,price,volume,mc,pe,bm,div
2004-12-31,74.05,5958778.0,5348.7945,,1.0424,0.0
2005-01-31,67.4,8068361.0,4868.4503,,0.9488,0.0
2005-02-28,81.65,66376097.0,5897.7592,,1.1494,0.0
2005-03-31,81.15,57515532.0,5861.6431,,1.1424,0.0
2005-04-30,77.05,17243974.0,5565.4911,,1.0846,0.0
2005-05-31,85.95,17235310.0,6208.3576,,1.2099,0.0
2005-06-30,81.8,22696095.0,5908.594,,1.1515,0.0
2005-07-31,92.8,62280556.0,6703.1482,,1.3064,0.0
2005-08-31,105.95,85096229.0,7653.0017,,1.4915,0.0
2005-09-30,101.65,55481253.0,7342.4032,5.2228,1.6842,0.0
2005-10-31,67.9,28825496.0,4904.5664,3.4887,1.125,0.0
2005-11-30,76.85,34052961.0,5551.0446,3.9486,1.2733,0.0
2005-12-31,73.1,22067277.0,5280.1739,3.7559,1.2111,0.0
2006-01-31,83.75,38722408.0,6049.4468,4.3031,1.3876,0.0
2006-02-28,81.05,15824153.0,5854.4199,4.1644,1.3428,0.0
2006-03-31,91.1,49249768.0,6580.3535,4.6807,1.5094,0.0
2006-04-30,101.9,32276558.0,7136.5414,5.2357,1.6883,0.0
2006-05-31,80.25,40956371.0,5796.6341,4.1233,1.3296,0.0
2006-06-30,70.3,21643822.0,5077.9237,3.612,1.1647,0.0
2006-07-31,78.35,36601288.0,5659.3929,4.0256,1.2981,0.0
2006-08-31,85.4,28788838.0,6168.6299,4.3879,1.4149,0.0
2006-09-30,125.9,132927817.0,9094.0341,6.253,1.0993,0.0
2006-10-31,128.85,36876061.0,9307.1191,,1.1251,0.0
2006-11-30,117.45,16448690.0,8483.672,,1.0255,0.0
2006-12-31,111.6,12491459.0,8061.1136,,0.9744,0.0
2007-01-31,121.65,11864662.0,8787.0472,,1.0622,0.0
2007-02-28,125.9,67006652.0,9094.0341,,1.0993,0.0
2007-03-31,115.6,16553705.0,8350.0424,,1.0094,0.0
2007-04-30,131.55,14652939.0,9502.146,,1.1486,0.0
2007-05-31,123.65,10727966.0,8931.5116,,1.0797,0.0
2007-06-30,109.65,7514591.0,7920.2608,,0.9574,0.0
2007-07-31,104.15,16989093.0,8340.5404,,0.9094,0.0
2007-08-31,95.1,36846855.0,7615.7983,,0.8304,0.0
2007-09-30,118.85,74125897.0,9517.7458,,1.0712,0.0
2007-10-31,119.45,56291250.0,9565.795,,1.0766,0.0
2007-11-30,152.8,65215086.0,12236.5297,,1.3772,0.0
2007-12-31,162.5,29830497.0,13013.3251,,1.4646,0.0
2008-01-31,85.1,24636833.0,6814.9783,,0.767,0.0
2008-02-29,106.4,24931513.0,8520.7249,,0.959,0.0
2008-03-31,85.7,8114732.0,6926.848,,0.7724,0.0
2008-04-30,102.95,12243110.0,8321.14,,0.9279,0.0
2008-05-31,94.85,14915071.0,8008.9729,,0.8549,0.0
2008-06-30,71.7,9242526.0,6054.2262,,0.6462,0.0
2008-07-31,73.75,10043578.0,6227.3247,,0.6647,0.0
